partei,jahr,prozent,N
Grüne,2022,27,184
Weiß nicht,2022,19,129
FDP,2022,19,129
Union,2022,16,109
SPD,2022,14,95
keine Stimme,2022,11,75
AfD,2022,9,61
Linke,2022,9,61
Sonstige,2022,7,48
Grüne,2023,22,150
Weiß nicht,2023,18,123
FDP,2023,14,95
Union,2023,16,109
SPD,2023,16,109
keine Stimme,2023,15,102
AfD,2023,12,82
Linke,2023,10,68
Sonstige,2023,10,68
Grüne,2024,18,123
Weiß nicht,2024,25,170
FDP,2024,8,54
Union,2024,20,136
SPD,2024,12,82
keine Stimme,2024,10,68
AfD,2024,22,150
Linke,2024,7,48
Sonstige,2024,7,48
BSW,2024,5,34
